Order_ID,Order_Date,Customer_ID,Employee_ID,City,Category,Product,Quantity,Gross_Sales,Discount,Net_Sales,Cost,Profit,Status,TAT_Hours,Delivery_Date,Month,Month_No,Quarter
ORD00001,2025-04-13,CUST0256,EMP002,Delhi,Beauty,Face Wash,3,11626.56,0.1,10463.9,9098.45,1365.45,Completed,37,2025-04-14 13:00:00,Apr,4,Q2
ORD00002,2025-12-15,CUST0116,EMP003,Chennai,Electronics,Power Bank,2,9551.46,0.05,9073.89,7754.25,1319.64,Completed,13,2025-12-15 13:00:00,Dec,12,Q4
ORD00003,2025-09-28,CUST0049,EMP007,Delhi,Office Supplies,File Folder,5,13189.6,0.0,13189.6,11102.28,2087.32,Completed,8,2025-09-28 08:00:00,Sep,9,Q3
ORD00004,2025-04-17,CUST0227,EMP004,Kolkata,Office Supplies,Pen Set,1,3949.88,0.0,3949.88,2761.71,1188.17,Cancelled,16,2025-04-17 16:00:00,Apr,4,Q2
ORD00005,2025-03-13,CUST0069,EMP001,Mumbai,Electronics,Headphones,2,3031.34,0.1,2728.21,2272.25,455.96,Completed,6,2025-03-13 06:00:00,Mar,3,Q1
ORD00006,2025-07-08,CUST0126,EMP005,Bengaluru,Office Supplies,File Folder,7,18826.01,0.15,16002.11,9056.72,6945.39,Completed,22,2025-07-08 22:00:00,Jul,7,Q3
ORD00007,2025-01-21,CUST0213,EMP009,Bengaluru,Electronics,USB Hub,4,21344.96,0.0,21344.96,12785.86,8559.1,Cancelled,23,2025-01-21 23:00:00,Jan,1,Q1
ORD00008,2025-04-13,CUST0053,EMP008,Chennai,Beauty,Hair Dryer,5,13350.15,0.0,13350.15,9166.34,4183.81,Completed,47,2025-04-14 23:00:00,Apr,4,Q2
ORD00009,2025-05-02,CUST0112,EMP009,Delhi,Fashion,Jacket,1,7662.85,0.2,6130.28,4349.55,1780.73,Completed,38,2025-05-03 14:00:00,May,5,Q2
ORD00010,2025-08-03,CUST0159,EMP010,Ahmedabad,Electronics,Keyboard,3,16191.6,0.0,16191.6,10313.36,5878.24,Completed,9,2025-08-03 09:00:00,Aug,8,Q3
ORD00011,2025-11-27,CUST0240,EMP009,Ahmedabad,Home & Kitchen,Storage Box,7,26689.04,0.2,21351.23,14254.88,7096.35,Delayed,79,2025-11-30 07:00:00,Nov,11,Q4
ORD00012,2025-03-29,CUST0150,EMP007,Mumbai,Electronics,Wireless Mouse,1,473.62,0.05,449.94,271.64,178.3,Completed,7,2025-03-29 07:00:00,Mar,3,Q1
ORD00013,2025-04-10,CUST0139,EMP004,Pune,Office Supplies,Desk Organizer,3,12963.69,0.15,11019.14,7839.17,3179.97,Cancelled,8,2025-04-10 08:00:00,Apr,4,Q2
ORD00014,2025-12-26,CUST0113,EMP005,Kolkata,Beauty,Hair Dryer,5,32679.4,0.05,31045.43,25207.9,5837.53,Cancelled,14,2025-12-26 14:00:00,Dec,12,Q4
ORD00015,2025-06-01,CUST0143,EMP001,Delhi,Beauty,Hair Dryer,3,7102.23,0.2,5681.78,4365.02,1316.76,Pending,15,2025-06-01 15:00:00,Jun,6,Q2
ORD00016,2025-05-11,CUST0138,EMP001,Ahmedabad,Electronics,Headphones,4,27546.24,0.15,23414.3,13710.75,9703.55,Pending,20,2025-05-11 20:00:00,May,5,Q2
ORD00017,2025-05-30,CUST0031,EMP003,Ahmedabad,Fashion,Backpack,7,15768.13,0.05,14979.72,10649.11,4330.61,Cancelled,7,2025-05-30 07:00:00,May,5,Q2
ORD00018,2025-11-05,CUST0293,EMP008,Delhi,Home & Kitchen,Water Bottle,6,42169.68,0.0,42169.68,32901.77,9267.91,Cancelled,15,2025-11-05 15:00:00,Nov,11,Q4
ORD00019,2025-09-15,CUST0108,EMP002,Pune,Beauty,Shampoo,3,2585.97,0.15,2198.07,1593.3,604.77,Completed,23,2025-09-15 23:00:00,Sep,9,Q3
ORD00020,2025-12-10,CUST0284,EMP004,Hyderabad,Office Supplies,Calculator,4,29530.52,0.1,26577.47,18052.82,8524.65,Completed,27,2025-12-11 03:00:00,Dec,12,Q4
ORD00021,2025-10-21,CUST0159,EMP002,Kolkata,Office Supplies,File Folder,6,25909.26,0.0,25909.26,19567.5,6341.76,Completed,38,2025-10-22 14:00:00,Oct,10,Q4
ORD00022,2025-07-11,CUST0014,EMP005,Chennai,Fashion,T-Shirt,7,18382.63,0.0,18382.63,15986.47,2396.16,Delayed,89,2025-07-14 17:00:00,Jul,7,Q3
ORD00023,2025-10-04,CUST0122,EMP009,Kolkata,Beauty,Perfume,5,11818.5,0.15,10045.72,5839.77,4205.95,Completed,22,2025-10-04 22:00:00,Oct,10,Q4
ORD00024,2025-06-10,CUST0215,EMP001,Mumbai,Electronics,Headphones,5,18786.45,0.05,17847.13,12112.94,5734.19,Delayed,61,2025-06-12 13:00:00,Jun,6,Q2
ORD00025,2025-11-10,CUST0272,EMP005,Chennai,Office Supplies,File Folder,7,59444.42,0.1,53499.98,36603.61,16896.37,Completed,36,2025-11-11 12:00:00,Nov,11,Q4
ORD00026,2025-01-22,CUST0025,EMP009,Pune,Fashion,Jeans,7,13928.11,0.1,12535.3,9281.13,3254.17,Completed,5,2025-01-22 05:00:00,Jan,1,Q1
ORD00027,2025-09-10,CUST0294,EMP001,Mumbai,Beauty,Perfume,1,1011.86,0.2,809.49,485.87,323.62,Delayed,88,2025-09-13 16:00:00,Sep,9,Q3
ORD00028,2025-08-24,CUST0169,EMP009,Bengaluru,Beauty,Hair Dryer,4,20140.16,0.2,16112.13,9800.88,6311.25,Completed,48,2025-08-26 00:00:00,Aug,8,Q3
